year,Country,GDPPC_I,FC,FR
1989,"Brunei Darussalam",27305.61,3,2.67
1990,"Brunei Darussalam",26831.06,3,2.69
1991,"Brunei Darussalam",26900.07,3,2.70
1992,"Brunei Darussalam",27392.24,3,2.66
1993,"Brunei Darussalam",26717.48,3,2.74
1994,"Brunei Darussalam",26817.72,4,2.77
1995,"Brunei Darussalam",27293.84,4,2.73
1996,"Brunei Darussalam",27382.54,4,2.71
1997,"Brunei Darussalam",26336.08,4,2.78
1998,"Brunei Darussalam",25585.48,4,2.88
1999,"Brunei Darussalam",25774.3,4,2.83
2000,"Brunei Darussalam",25925.5,4,2.73
2001,"Brunei Darussalam",26062.48,4,2.76
2002,"Brunei Darussalam",26501.7,4,2.72
2003,"Brunei Darussalam",26712.84,5,2.70
2004,"Brunei Darussalam",26315.66,5,2.68
2005,"Brunei Darussalam",25913.58,5,2.66
2006,"Brunei Darussalam",26556.3,5,2.59
2007,"Brunei Darussalam",26127.17,5,2.63
2008,"Brunei Darussalam",25186.11,5,2.66
2009,"Brunei Darussalam",24341.27,5,2.80
2010,"Brunei Darussalam",24589.28,5,2.76
2011,"Brunei Darussalam",25060.83,5,2.68
2012,"Brunei Darussalam",24947.1,5,2.70
2013,"Brunei Darussalam",24184.67,6,2.77
1989,"Bulgaria",3089.541,100,2.40
1990,"Bulgaria",2858.962,100,2.46
1991,"Bulgaria",2643.566,102,2.54
1992,"Bulgaria",2477.781,104,2.64
1993,"Bulgaria",2460.654,108,2.77
1994,"Bulgaria",2513.911,108,2.83
1995,"Bulgaria",2597.357,113,2.99
1996,"Bulgaria",2652.559,137,3.69
1997,"Bulgaria",2639.698,123,3.38
1998,"Bulgaria",2749.391,104,2.91
1999,"Bulgaria",2608.74,89,2.54
2000,"Bulgaria",2779.96,138,4.02
2001,"Bulgaria",2939.496,138,3.93
2002,"Bulgaria",3130.447,115,3.36
2003,"Bulgaria",3317.083,114,3.39
2004,"Bulgaria",3553.933,130,3.81
2005,"Bulgaria",3785.655,130,3.88
2006,"Bulgaria",4052.003,169,4.86
2007,"Bulgaria",4420.122,179,5.10
2008,"Bulgaria",4707.413,164,4.58
2009,"Bulgaria",4500.382,163,4.65
2010,"Bulgaria",4559.792,171,5.00
2011,"Bulgaria",4680.081,175,5.23
2012,"Bulgaria",4730.437,182,5.43
2013,"Bulgaria",4807.688,179,5.37
1989,"Burkina Faso",280.3682,510,13.53
1990,"Burkina Faso",271.3651,532,13.73
1991,"Burkina Faso",288.1596,586,14.75
1992,"Burkina Faso",281.1559,580,14.20
1993,"Burkina Faso",283.1118,622,14.80
1994,"Burkina Faso",279.1175,730,16.91
1995,"Burkina Faso",287.0807,760,17.10
1996,"Burkina Faso",310.0162,884,19.32
1997,"Burkina Faso",320.5623,831,17.63
1998,"Burkina Faso",334.4896,944,19.46
1999,"Burkina Faso",349.2535,759,15.19
2000,"Burkina Faso",345.6237,501,9.73
2001,"Burkina Faso",358.0512,682,12.86
2002,"Burkina Faso",362.9925,706,12.92
2003,"Burkina Faso",380.1034,684,12.13
2004,"Burkina Faso",385.6956,626,10.78
2005,"Burkina Faso",406.9988,794,13.26
2006,"Burkina Faso",419.9243,751,12.14
2007,"Burkina Faso",424.5105,637,9.99
2008,"Burkina Faso",436.1244,887,13.48
2009,"Burkina Faso",435.6889,746,10.98
2010,"Burkina Faso",458.9487,776,11.06
2011,"Burkina Faso",475.4416,747,10.33
2012,"Burkina Faso",503.5746,810,10.85
2013,"Burkina Faso",521.9941,828,10.77
1989,"Burundi",217.0172,797,31.07
1990,"Burundi",218.3406,887,33.48
1991,"Burundi",223.5132,851,31.73
1992,"Burundi",220.6699,834,30.78
1993,"Burundi",202.7293,812,29.76
1994,"Burundi",191.4962,673,24.53
1995,"Burundi",173.562,714,25.93
1996,"Burundi",157.5319,985,35.73
1997,"Burundi",153.1996,713,25.87
1998,"Burundi",158.5327,722,26.11
1999,"Burundi",154.5914,728,25.96
2000,"Burundi",150.3042,748,26.05
2001,"Burundi",149.6915,732,24.73
2002,"Burundi",151.941,744,24.18
2003,"Burundi",145.3999,791,24.63
2004,"Burundi",147.4268,801,23.84
2005,"Burundi",143.7835,808,23.06
2006,"Burundi",146.3977,842,23.06
2007,"Burundi",148.1409,693,18.22
2008,"Burundi",150.2787,808,20.41
2009,"Burundi",150.2235,836,20.33
2010,"Burundi",150.7424,863,20.27
2011,"Burundi",151.9968,889,20.19
2012,"Burundi",153.1427,923,20.35
2013,"Burundi",155.2453,921,19.80
1989,"Cabo Verde",716.7354,10,8.88
1990,"Cabo Verde",709.904,10,8.13
1991,"Cabo Verde",704.4955,10,7.86
1992,"Cabo Verde",761.9926,9,7.40
1993,"Cabo Verde",806.0028,9,7.21
1994,"Cabo Verde",934.9565,10,7.68
1995,"Cabo Verde",1041.171,11,7.93
1996,"Cabo Verde",1132.896,11,7.58
1997,"Cabo Verde",1232.411,11,7.44
1998,"Cabo Verde",1359.426,11,7.23
1999,"Cabo Verde",1483.307,13,7.96
2000,"Cabo Verde",1663.554,13,7.77
2001,"Cabo Verde",1669.043,13,7.46
2002,"Cabo Verde",1724.82,13,7.19
2003,"Cabo Verde",1766.841,13,7.15
2004,"Cabo Verde",1919.716,13,7.07
2005,"Cabo Verde",2030.659,13,6.83
2006,"Cabo Verde",2177.817,13,6.66
2007,"Cabo Verde",2499.013,14,6.70
2008,"Cabo Verde",2660.052,14,6.47
2009,"Cabo Verde",2620.511,14,6.59
2010,"Cabo Verde",2648.662,14,6.54
2011,"Cabo Verde",2737.193,15,6.50
2012,"Cabo Verde",2749.482,15,6.65
2013,"Cabo Verde",2739.324,16,6.66
1989,"Cambodia",243.8675,1315,33.71
1990,"Cambodia",245.8602,1256,31.02
1991,"Cambodia",242.0314,1226,29.60
1992,"Cambodia",242.25,1136,26.76
1993,"Cambodia",241.7821,1091,25.01
1994,"Cambodia",254.859,1161,25.88
1995,"Cambodia",262.7415,1277,27.55
1996,"Cambodia",268.9355,1192,24.85
1997,"Cambodia",276.4382,1233,24.54
1998,"Cambodia",283.0965,1295,24.51
1999,"Cambodia",309.5247,1212,22.07
2000,"Cambodia",329.4326,1033,18.18
2001,"Cambodia",348.7887,1017,17.17
2002,"Cambodia",365.1835,943,15.29
2003,"Cambodia",389.3517,999,15.62
2004,"Cambodia",422.5877,952,14.36
2005,"Cambodia",471.1625,1033,14.99
2006,"Cambodia",514.264,1041,14.56
2007,"Cambodia",558.858,1089,14.69
2008,"Cambodia",587.9897,1254,16.34
2009,"Cambodia",580.0238,1324,16.82
2010,"Cambodia",605.168,1373,17.00
2011,"Cambodia",637.2626,1434,17.35
2012,"Cambodia",671.962,1405,16.66
2013,"Cambodia",708.8285,1336,15.53
1989,"Cameroon",1096.859,502,11.89
1990,"Cameroon",999.7363,494,11.34
1991,"Cameroon",933.8109,516,11.43
1992,"Cameroon",878.9481,586,12.56
1993,"Cameroon",786.345,477,9.89
1994,"Cameroon",780.194,549,11.01
1995,"Cameroon",790.0877,566,10.98
1996,"Cameroon",806.4689,585,11.01
1997,"Cameroon",826.6642,624,11.40
1998,"Cameroon",844.261,659,11.68
1999,"Cameroon",855.5795,652,11.20
2000,"Cameroon",868.1177,618,10.28
2001,"Cameroon",883.8492,643,10.40
2002,"Cameroon",895.6409,663,10.40
2003,"Cameroon",907.8743,677,10.31
2004,"Cameroon",917.4229,668,9.87
2005,"Cameroon",914.5496,690,9.88
2006,"Cameroon",919.9822,719,9.98
2007,"Cameroon",925.7726,798,10.73
2008,"Cameroon",928.2972,839,10.95
2009,"Cameroon",922.2773,865,10.94
2010,"Cameroon",928.3916,890,10.91
2011,"Cameroon",942.5236,923,10.98
2012,"Cameroon",961.0897,936,10.81
2013,"Cameroon",989.2711,956,10.71
1989,"Canada",28254.75,418,2.89
1990,"Canada",27871.78,431,2.93
1991,"Canada",26912.19,445,3.00
1992,"Canada",26811.01,446,3.02
1993,"Canada",27210.66,447,3.01
1994,"Canada",28177.67,443,2.96
1995,"Canada",28710.56,441,2.93
1996,"Canada",28880.02,444,2.92
1997,"Canada",29791.81,444,2.88
1998,"Canada",30757.26,445,2.84
1999,"Canada",32028.18,440,2.75
2000,"Canada",33373.04,433,2.66
2001,"Canada",33595.63,439,2.66
2002,"Canada",34228.48,444,2.62
2003,"Canada",34541.65,454,2.62
2004,"Canada",35270.64,455,2.59
2005,"Canada",36029.32,453,2.56
2006,"Canada",36680.48,452,2.52
2007,"Canada",37056,459,2.51
2008,"Canada",37088.02,470,2.52
2009,"Canada",35671.66,489,2.61
2010,"Canada",36466.82,483,2.55
2011,"Canada",37021.32,483,2.53
2012,"Canada",37210.49,489,2.54
2013,"Canada",37528.61,491,2.52
1989,"Cayman Islands",,1,5.36
1990,"Cayman Islands",,1,5.17
1991,"Cayman Islands",,1,5.15
1992,"Cayman Islands",,1,5.13
1993,"Cayman Islands",,1,5.05
1994,"Cayman Islands",,1,4.94
1995,"Cayman Islands",,1,4.92
1996,"Cayman Islands",,1,4.81
1997,"Cayman Islands",,1,4.76
1998,"Cayman Islands",,1,4.81
1999,"Cayman Islands",,1,4.57
2000,"Cayman Islands",,1,4.44
2001,"Cayman Islands",,1,4.37
2002,"Cayman Islands",,1,4.31
2003,"Cayman Islands",,1,4.35
2004,"Cayman Islands",,1,4.27
2005,"Cayman Islands",,1,4.19
2006,"Cayman Islands",,1,4.20
2007,"Cayman Islands",,1,4.16
2008,"Cayman Islands",,1,4.07
2009,"Cayman Islands",,1,4.11
2010,"Cayman Islands",,1,4.07
2011,"Cayman Islands",,1,4.08
2012,"Cayman Islands",,1,4.03
2013,"Cayman Islands",,1,4.00
1989,"Central African Republic",393.5664,319,25.42
1990,"Central African Republic",377.0199,344,26.71
1991,"Central African Republic",366.5359,315,23.89
1992,"Central African Republic",334.9844,334,24.64
1993,"Central African Republic",328.1102,337,24.20
1994,"Central African Republic",336.0697,330,23.12
1995,"Central African Republic",352.0113,356,24.33
1996,"Central African Republic",330.4059,440,29.32
1997,"Central African Republic",340.3557,501,32.63
1998,"Central African Republic",348.8745,528,33.62
1999,"Central African Republic",354.206,474,29.51
2000,"Central African Republic",338.8577,489,29.87
2001,"Central African Republic",347.7054,521,31.21
2002,"Central African Republic",354.2357,535,31.46
2003,"Central African Republic",329.6566,609,35.14
2004,"Central African Republic",343.6797,595,33.70
2005,"Central African Republic",340.9079,592,32.84
2006,"Central African Republic",360.3402,609,33.09
2007,"Central African Republic",382.5143,605,32.09
2008,"Central African Republic",389.9756,652,33.75
2009,"Central African Republic",416.6336,644,32.51
2010,"Central African Republic",435.7329,651,32.03
2011,"Central African Republic",441.3561,673,32.33
2012,"Central African Republic",450.4161,677,31.74
2013,"Central African Republic",282.5711,806,36.88
1989,"Chad",440.8607,328,15.07
1990,"Chad",409.1704,314,13.89
1991,"Chad",430.2859,414,17.87
1992,"Chad",450.3184,408,17.19
1993,"Chad",367.7685,384,15.62
1994,"Chad",392.2704,475,18.77
1995,"Chad",384.3313,455,17.48
1996,"Chad",379.9964,522,19.46
1997,"Chad",388.1907,552,19.99
1998,"Chad",401.1492,588,20.61
1999,"Chad",384.5412,587,19.95
2000,"Chad",367.4639,664,21.82
2001,"Chad",395.0844,671,21.30
2002,"Chad",412.4123,642,19.61
2003,"Chad",455.2774,533,15.69
2004,"Chad",586.1143,368,10.46
2005,"Chad",663.7098,1203,33.00
2006,"Chad",645.9271,1321,35.04
2007,"Chad",646.0043,1333,34.24
2008,"Chad",645.4306,1370,34.07
2009,"Chad",652.4995,1075,25.87
2010,"Chad",718.8234,1336,31.12
2011,"Chad",698.0239,1366,30.79
2012,"Chad",737.5496,1508,32.85
2013,"Chad",744.249,1398,29.50
1989,"Channel Islands",53638.74,4,5.07
1990,"Channel Islands",54374.91,3,5.03
1991,"Channel Islands",53531.81,3,4.85
1992,"Channel Islands",52548.06,3,4.32
1993,"Channel Islands",51888.07,3,4.28
1994,"Channel Islands",51766.04,3,4.05
1995,"Channel Islands",52927.11,3,4.09
1996,"Channel Islands",54204.13,3,3.80
1997,"Channel Islands",56067.79,3,3.63
1998,"Channel Islands",57518.48,3,3.58
1999,"Channel Islands",59277.67,3,3.48
2000,"Channel Islands",62291.63,2,3.29
2001,"Channel Islands",60909.34,2,3.28
2002,"Channel Islands",59474.86,2,3.15
2003,"Channel Islands",57142.13,2,3.08
2004,"Channel Islands",56845.87,2,2.92
2005,"Channel Islands",57209.25,2,2.93
2006,"Channel Islands",59574.58,2,2.92
2007,"Channel Islands",62648.67,2,2.87
2008,"Channel Islands",64096.14,2,2.62
2009,"Channel Islands",63408.88,2,2.47
2010,"Channel Islands",64913.5,2,2.56
2011,"Channel Islands",66471.05,2,2.29
2012,"Channel Islands",67842.55,2,2.32
2013,"Channel Islands",68686.99,2,2.28
1989,"Chile",4045.688,390,7.99
1990,"Chile",4121.338,380,7.59
1991,"Chile",4369.603,380,7.46
1992,"Chile",4816.611,370,6.98
1993,"Chile",5060.121,371,6.70
1994,"Chile",5256.193,360,6.39
1995,"Chile",5720.017,352,6.25
1996,"Chile",6050.951,329,5.78
1997,"Chile",6359.509,338,5.80
1998,"Chile",6477.886,359,6.03
1999,"Chile",6347.27,266,4.39
2000,"Chile",6551.573,305,5.00
2001,"Chile",6690.886,264,4.30
2002,"Chile",6757.99,301,4.84
2003,"Chile",6948.026,312,4.88
2004,"Chile",7289.118,261,3.96
2005,"Chile",7614.522,266,3.92
2006,"Chile",7869.604,268,3.84
2007,"Chile",8194.139,263,3.66
2008,"Chile",8382.314,261,3.49
2009,"Chile",8217.06,249,3.28
2010,"Chile",8610.022,256,3.18
2011,"Chile",9029.733,257,3.08
2012,"Chile",9430.497,246,2.90
2013,"Chile",9728.481,236,2.75
1989,"China",452.208,70294,11.29
1990,"China",462.7287,76674,12.11
1991,"China",498.356,71409,11.12
1992,"China",562.3907,65927,10.12
1993,"China",633.5987,61974,9.39
1994,"China",708.4252,63186,9.46
1995,"China",777.3287,64278,9.49
1996,"China",846.2117,64577,9.41
1997,"China",915.4669,62576,9.00
1998,"China",977.7514,62246,8.83
1999,"China",1043.183,61014,8.54
2000,"China",1122.259,59195,8.17
2001,"China",1206.613,58676,8.02
2002,"China",1307.41,58176,7.87
2003,"China",1429.55,56912,7.63
2004,"China",1564.402,58662,7.79
2005,"China",1731.125,56729,7.48
2006,"China",1939.711,55420,7.26
2007,"China",2202.885,55581,7.24
2008,"China",2402.783,56018,7.27
2009,"China",2611.16,55850,7.22
2010,"China",2870.053,55702,7.19
2011,"China",3121.97,56505,7.22
2012,"China",3344.545,57414,7.29
2013,"China",3583.376,58200,7.34
1989,"Colombia",2724.214,449,4.04
1990,"Colombia",2832.466,352,3.09
1991,"Colombia",2841.485,293,2.50
1992,"Colombia",2928.358,323,2.69
1993,"Colombia",2942.179,402,3.26
1994,"Colombia",3057.093,511,3.95
1995,"Colombia",3158.234,370,2.72
1996,"Colombia",3165.84,412,2.88
1997,"Colombia",3216.966,411,2.74
1998,"Colombia",3179.369,440,2.79
1999,"Colombia",2994.002,457,2.76
2000,"Colombia",3074.318,464,2.67
2001,"Colombia",3074.983,464,2.56
2002,"Colombia",3101.687,486,2.56
2003,"Colombia",3172.741,507,2.57
2004,"Colombia",3290.427,488,2.49
2005,"Colombia",3392.924,475,2.39
2006,"Colombia",3565.886,460,2.33
2007,"Colombia",3755.671,445,2.24
2008,"Colombia",3832.495,458,2.24
2009,"Colombia",3840.545,464,2.15
2010,"Colombia",3937.867,481,2.17
2011,"Colombia",4140.829,490,2.16
2012,"Colombia",4251.987,481,2.08
2013,"Colombia",4394.066,494,2.10
1989,"Comoros",657.6043,25,20.87
1990,"Comoros",674.2047,26,21.24
1991,"Comoros",622.4777,25,19.99
1992,"Comoros",659.4944,26,19.75
1993,"Comoros",663.1949,26,19.46
1994,"Comoros",613.2159,26,18.45
1995,"Comoros",620.0392,30,20.66
1996,"Comoros",597.0957,31,20.67
1997,"Comoros",605.8368,32,20.67
1998,"Comoros",598.3312,33,20.70
1999,"Comoros",594.569,34,20.71
2000,"Comoros",587.8372,45,26.67
2001,"Comoros",640.9094,36,20.65
2002,"Comoros",639.2355,37,20.80
2003,"Comoros",636.1389,39,20.80
2004,"Comoros",631.8499,40,20.80
2005,"Comoros",633.1813,41,20.89
2006,"Comoros",633.2963,42,20.73
2007,"Comoros",622.0069,43,20.69
2008,"Comoros",608.5721,46,21.56
2009,"Comoros",604.7853,46,21.11
2010,"Comoros",602.7225,45,19.80
2011,"Comoros",603.2605,45,19.31
2012,"Comoros",606.3878,43,18.13
2013,"Comoros",612.74,43,17.57
1989,"Congo, Dem. Rep.",560.3436,2648,20.32
1990,"Congo, Dem. Rep.",505.8022,2677,19.77
1991,"Congo, Dem. Rep.",446.0559,2767,19.66
1992,"Congo, Dem. Rep.",383.5818,4016,27.42
1993,"Congo, Dem. Rep.",319.0125,4475,29.33
1994,"Congo, Dem. Rep.",295.6181,5533,35.02
1995,"Congo, Dem. Rep.",288.471,5681,34.91
1996,"Congo, Dem. Rep.",278.1695,2559,15.35
1997,"Congo, Dem. Rep.",256.8516,4384,25.71
1998,"Congo, Dem. Rep.",247.72,4384,25.21
1999,"Congo, Dem. Rep.",232.3456,5349,30.15
2000,"Congo, Dem. Rep.",211.4044,2765,15.21
2001,"Congo, Dem. Rep.",201.7319,2900,15.55
2002,"Congo, Dem. Rep.",202.0168,2394,12.48
2003,"Congo, Dem. Rep.",207.1952,2454,12.44
2004,"Congo, Dem. Rep.",214.7734,2343,11.53
2005,"Congo, Dem. Rep.",221.4497,2223,10.61
2006,"Congo, Dem. Rep.",226.6761,2297,10.65
2007,"Congo, Dem. Rep.",234.135,2404,10.81
2008,"Congo, Dem. Rep.",241.8194,2560,11.17
2009,"Congo, Dem. Rep.",241.8682,2732,11.56
2010,"Congo, Dem. Rep.",251.9566,2658,10.90
2011,"Congo, Dem. Rep.",261.9459,2810,11.17
2012,"Congo, Dem. Rep.",272.9396,2812,10.84
2013,"Congo, Dem. Rep.",288.1584,2803,10.50
1989,"Congo, Rep.",1847.512,64,7.38
1990,"Congo, Rep.",1816.822,65,7.31
1991,"Congo, Rep.",1811.885,65,7.04
1992,"Congo, Rep.",1811.248,67,7.10
1993,"Congo, Rep.",1747.174,69,7.05
1994,"Congo, Rep.",1607.926,68,6.66
1995,"Congo, Rep.",1627.257,70,6.70
1996,"Congo, Rep.",1650.401,68,6.25
1997,"Congo, Rep.",1594.071,70,6.19
1998,"Congo, Rep.",1607.289,79,6.79
1999,"Congo, Rep.",1523.053,72,5.97
2000,"Congo, Rep.",1595.589,65,5.22
2001,"Congo, Rep.",1615.223,69,5.41
2002,"Congo, Rep.",1649.062,72,5.52
2003,"Congo, Rep.",1623.08,75,5.56
2004,"Congo, Rep.",1637.896,74,5.35
2005,"Congo, Rep.",1718.101,72,5.08
2006,"Congo, Rep.",1773.294,72,4.93
2007,"Congo, Rep.",1693.14,76,5.03
2008,"Congo, Rep.",1733.252,76,4.86
2009,"Congo, Rep.",1807.377,83,5.08
2010,"Congo, Rep.",1909.828,82,4.89
2011,"Congo, Rep.",1922.032,83,4.80
2012,"Congo, Rep.",1943.691,87,4.91
2013,"Congo, Rep.",1960.579,91,5.02
1989,"Costa Rica",3147.448,81,7.19
1990,"Costa Rica",3188.179,83,7.19
1991,"Costa Rica",3189.947,88,7.46
1992,"Costa Rica",3398.344,89,7.39
1993,"Costa Rica",3563.512,92,7.30
1994,"Costa Rica",3642.679,96,7.39
1995,"Costa Rica",3693.406,102,7.46
1996,"Costa Rica",3633.788,100,7.27
1997,"Costa Rica",3740.612,107,7.29
1998,"Costa Rica",3954.672,112,7.20
1999,"Costa Rica",4178.289,104,6.54
2000,"Costa Rica",4158.437,102,6.37
2001,"Costa Rica",4115.332,108,6.28
2002,"Costa Rica",4151.648,110,6.24
2003,"Costa Rica",4335.669,114,6.26
2004,"Costa Rica",4440.303,114,6.21
2005,"Costa Rica",4621.364,122,6.27
2006,"Costa Rica",4944.286,124,6.21
2007,"Costa Rica",5252.057,126,6.08
2008,"Costa Rica",5312.812,123,5.83
2009,"Costa Rica",5180.318,127,5.91
2010,"Costa Rica",5357.49,129,5.86
2011,"Costa Rica",5518.767,128,5.71
2012,"Costa Rica",5720.451,129,5.62
2013,"Costa Rica",5839.252,130,5.53
1989,"Croatia",6822.746,129,5.93
1990,"Croatia",6925.313,128,5.86
1991,"Croatia",6738.218,121,5.84
1992,"Croatia",6624.793,118,5.77
1993,"Croatia",6488.39,121,5.73
1994,"Croatia",6424.773,120,5.69
1995,"Croatia",6604.007,118,5.60
1996,"Croatia",7264.176,111,5.50
1997,"Croatia",7614.75,110,5.37
1998,"Croatia",7878.881,109,5.42
1999,"Croatia",7714.337,111,5.47
2000,"Croatia",8236.479,104,5.32
2001,"Croatia",8492.489,104,5.30
2002,"Croatia",8938.046,102,5.24
2003,"Croatia",9434.814,97,4.98
2004,"Croatia",9822.231,99,4.98
2005,"Croatia",10224.3,97,4.87
2006,"Croatia",10718.38,96,4.84
2007,"Croatia",11280.55,94,4.74
2008,"Croatia",11516.03,94,4.74
2009,"Croatia",10678.8,96,4.84
2010,"Croatia",10523.98,94,4.84
2011,"Croatia",10830.63,90,4.78
2012,"Croatia",10626.13,89,4.77
2013,"Croatia",10555.66,88,4.74
1989,"Cuba",3780.533,208,4.84
1990,"Cuba",3635.509,197,4.49
1991,"Cuba",3221.253,188,4.22
1992,"Cuba",2828.87,178,3.95
1993,"Cuba",2393.82,166,3.65
1994,"Cuba",2398.289,159,3.47
1995,"Cuba",2445.264,126,2.72
1996,"Cuba",2625.237,123,2.64
1997,"Cuba",2687.705,149,3.19
1998,"Cuba",2682.239,130,2.78
1999,"Cuba",2838.638,143,3.04
2000,"Cuba",2996.625,103,2.19
2001,"Cuba",3081.734,96,2.04
2002,"Cuba",3115.539,111,2.35
2003,"Cuba",3223.942,94,1.98
2004,"Cuba",3401.692,109,2.30
2005,"Cuba",3776.47,93,1.93
2006,"Cuba",4228.753,82,1.68
2007,"Cuba",4535.621,47,0.94
2008,"Cuba",4724.568,75,1.47
2009,"Cuba",4796.229,69,1.31
2010,"Cuba",4913.848,65,1.23
2011,"Cuba",5049.587,61,1.15
2012,"Cuba",5171.98,57,1.08
2013,"Cuba",5282.763,53,0.99
1989,"Curacao",,4,5.36
1990,"Curacao",,4,5.17
1991,"Curacao",,4,5.15
1992,"Curacao",,3,5.13
1993,"Curacao",,4,5.05
1994,"Curacao",,3,4.94
1995,"Curacao",,3,4.92
1996,"Curacao",,3,4.81
1997,"Curacao",,3,4.76
1998,"Curacao",,3,4.81
1999,"Curacao",,3,4.57
2000,"Curacao",,3,4.44
2001,"Curacao",,3,4.37
2002,"Curacao",,3,4.31
2003,"Curacao",,3,4.35
2004,"Curacao",,3,4.27
2005,"Curacao",,3,4.19
2006,"Curacao",,3,4.20
2007,"Curacao",,3,4.16
2008,"Curacao",,3,4.07
2009,"Curacao",,3,4.11
2010,"Curacao",,3,4.07
2011,"Curacao",,3,4.08
2012,"Curacao",,3,4.03
2013,"Curacao",,3,4.00
1989,"Cyprus",15812.93,26,8.41
1990,"Cyprus",16625.71,26,8.02
1991,"Cyprus",16320.67,22,6.75
1992,"Cyprus",17386.05,21,6.26
1993,"Cyprus",17090.04,22,6.29
1994,"Cyprus",17727.87,20,5.69
1995,"Cyprus",18471.33,19,5.23
1996,"Cyprus",18515.36,19,4.98
1997,"Cyprus",18683.47,17,4.30
1998,"Cyprus",19386.56,16,4.08
1999,"Cyprus",20100.02,16,3.86
2000,"Cyprus",20890.23,17,3.74
2001,"Cyprus",21498.21,16,3.46
2002,"Cyprus",21676.07,17,3.54
2003,"Cyprus",21715.79,8,1.60
2004,"Cyprus",22112.52,14,2.72
2005,"Cyprus",22430.61,13,2.48
2006,"Cyprus",22909.89,18,3.35
2007,"Cyprus",23734.2,15,2.72
2008,"Cyprus",24312.89,12,2.14
2009,"Cyprus",23700.44,9,1.58
2010,"Cyprus",23156.54,19,3.25
2011,"Cyprus",22663.48,5,0.85
2012,"Cyprus",21785.08,9,1.52
2013,"Cyprus",20516.78,9,1.49
1989,"Czech Republic",10339.68,291,5.89
1990,"Czech Republic",10332.24,282,5.72
1991,"Czech Republic",9154.104,296,5.93
1992,"Czech Republic",9098.427,270,5.35
1993,"Czech Republic",9094.601,242,4.76
1994,"Czech Republic",9355.811,248,4.82
1995,"Czech Republic",9943.969,257,4.98
1996,"Czech Republic",10381.92,251,4.86
1997,"Czech Republic",10323.04,269,5.20
1998,"Czech Republic",10300.17,208,4.00
1999,"Czech Republic",10458.97,191,3.66
2000,"Czech Republic",10938.73,223,4.30
2001,"Czech Republic",11314.96,231,4.48
2002,"Czech Republic",11523.52,206,4.00
2003,"Czech Republic",11941.99,199,3.88
2004,"Czech Republic",12529,185,3.61
2005,"Czech Republic",13317.72,163,3.15
2006,"Czech Republic",14195.03,152,2.93
2007,"Czech Republic",14892.75,188,3.62
2008,"Czech Republic",15170.14,174,3.34
2009,"Czech Republic",14353.62,159,3.03
2010,"Czech Republic",14640.33,156,2.99
2011,"Czech Republic",14897.01,151,2.88
2012,"Czech Republic",14755.92,147,2.79
2013,"Czech Republic",14647.52,143,2.69
1989,"C™te d'Ivoire",1174.963,659,15.12
1990,"C™te d'Ivoire",1123.271,670,14.83
1991,"C™te d'Ivoire",1086.578,718,15.32
1992,"C™te d'Ivoire",1048.693,764,15.70
1993,"C™te d'Ivoire",1013.466,659,13.04
1994,"C™te d'Ivoire",990.3304,623,11.90
1995,"C™te d'Ivoire",1029.665,633,11.69
1996,"C™te d'Ivoire",1077.794,650,11.64
1997,"C™te d'Ivoire",1108.395,636,11.04
1998,"C™te d'Ivoire",1131.412,673,11.38
1999,"C™te d'Ivoire",1122.757,672,11.06
2000,"C™te d'Ivoire",1059.155,730,11.76
2001,"C™te d'Ivoire",1040.303,769,12.14
2002,"C™te d'Ivoire",1009.749,818,12.71
2003,"C™te d'Ivoire",980.2401,872,13.37
2004,"C™te d'Ivoire",984.1745,744,11.23
2005,"C™te d'Ivoire",982.2314,730,10.84
2006,"C™te d'Ivoire",981.9669,741,10.83
2007,"C™te d'Ivoire",983.3403,740,10.61
2008,"C™te d'Ivoire",991.1721,770,10.81
2009,"C™te d'Ivoire",1004.622,747,10.28
2010,"C™te d'Ivoire",1004.626,861,11.56
2011,"C™te d'Ivoire",940.0724,942,12.37
2012,"C™te d'Ivoire",1016.829,846,10.82
2013,"C™te d'Ivoire",1079.386,854,10.65
1989,"Denmark",36438.46,82,2.82
1990,"Denmark",36964.09,71,2.44
1991,"Denmark",37347.73,66,2.27
1992,"Denmark",37959.8,69,2.36
1993,"Denmark",37799.64,63,2.18
1994,"Denmark",39753.74,76,2.73
1995,"Denmark",40759.36,86,3.05
